0	30	30	0	0	0	0	0	0
1	25	53	8	4	51	111	209	1
2	20	0	49	11	31	91	133	1
3	32	3	32	5	2	62	151	1
4	54	25	60	32	9	69	343	1
5	19	43	29	33	14	74	346	1
6	5	50	13	53	8	68	28	1
7	46	27	44	51	24	84	461	1
8	6	53	13	59	9	69	106	1
9	25	25	28	51	26	86	103	1
10	4	31	39	12	39	99	241	1
11	38	6	58	50	48	108	160	1
12	24	9	52	12	28	88	301	1
13	20	40	54	33	34	94	64	1
14	44	40	48	58	18	78	147	1
15	4	16	2	32	16	76	308	1
16	32	25	48	13	20	80	275	1
17	1	4	40	20	42	102	280	1
18	27	1	48	57	59	119	320	1
19	20	48	14	20	28	88	109	1
20	52	36	12	2	52	112	211	1
21	60	20	17	3	46	106	129	1
22	58	49	12	37	47	107	1	1
23	35	29	19	58	33	93	46	1
24	50	4	1	59	73	133	257	1
25	14	3	58	8	44	104	181	1
26	56	20	42	31	17	77	87	1
27	10	35	29	20	24	84	90	1
28	51	9	59	59	50	110	381	1
29	37	1	47	23	24	84	424	1
30	25	36	13	6	32	92	233	1
31	8	19	47	52	51	111	37	1
32	37	13	10	58	52	112	26	1
33	25	42	42	39	17	77	165	1
34	5	35	14	10	26	86	111	1
35	40	29	30	55	27	87	416	1
36	58	17	33	18	25	85	217	1
37	0	23	37	59	51	111	124	1
38	59	14	59	34	20	80	176	1
39	33	47	8	50	25	85	183	1
40	24	49	31	52	7	67	323	1
41	1	24	32	20	31	91	222	1
42	0	25	6	29	7	67	29	1
43	16	7	28	19	16	76	228	1
44	19	48	52	17	45	105	160	1
45	15	20	36	1	28	88	72	1
46	12	11	52	8	40	100	20	1
47	60	2	29	17	34	94	136	1
48	54	34	13	58	47	107	111	1
49	45	4	22	54	55	115	279	1
50	59	19	4	59	68	128	232	1
51	49	57	46	18	39	99	350	1
52	16	0	28	40	41	101	378	1
53	15	8	49	6	34	94	82	1
54	3	37	44	47	42	102	447	1
55	5	3	55	41	62	122	324	1
56	33	50	4	43	29	89	250	1
57	49	46	22	54	28	88	432	1
58	15	58	23	22	36	96	77	1
59	39	36	31	40	8	68	191	1
60	41	56	6	11	57	117	237	1
61	43	41	42	33	8	68	101	1
62	52	30	26	7	34	94	14	1
63	13	26	57	59	55	115	22	1
64	17	33	32	14	24	84	85	1
65	5	53	8	15	38	98	465	1
66	30	29	21	48	21	81	320	1
67	43	43	50	50	9	69	425	1
68	36	37	60	58	31	91	44	1
69	2	32	16	3	32	92	277	1
70	50	18	12	15	38	98	92	1
71	30	47	37	17	30	90	269	1
72	30	18	55	49	39	99	401	1
73	42	27	26	2	29	89	170	1
74	51	46	40	39	13	73	254	1
75	37	59	9	18	49	109	29	1
76	51	54	54	59	5	65	58	1
77	44	7	37	16	11	71	48	1
78	35	10	35	12	2	62	21	1
79	10	30	55	33	45	105	424	1
80	55	21	60	59	38	98	282	1
81	27	0	33	30	30	90	366	1
82	39	2	16	20	29	89	448	1
83	15	49	57	43	42	102	434	1
84	1	23	13	44	24	84	286	1
85	49	15	12	1	39	99	336	1
86	31	29	4	10	33	93	96	1
87	53	3	34	48	48	108	320	1
88	30	58	24	17	41	101	182	1
89	29	5	55	36	40	100	140	1
90	26	58	27	25	33	93	474	1
91	6	15	2	45	30	90	257	1
92	32	11	29	19	8	68	441	1
93	15	58	4	22	37	97	118	1
94	45	43	26	0	47	107	468	1
95	38	51	53	2	51	111	418	1
96	25	54	15	32	24	84	391	1
97	23	37	60	24	39	99	240	1
98	56	40	28	58	33	93	394	1
99	43	11	9	42	46	106	316	1
100	46	8	15	37	42	102	281	1
101	34	31	2	2	43	103	164	1
102	32	51	32	22	29	89	73	1
103	42	51	6	58	36	96	476	1
104	13	5	37	39	41	101	197	1
105	20	43	28	8	35	95	207	1
106	3	1	50	49	67	127	434	1
107	40	29	43	28	3	63	15	1
108	8	20	30	10	24	84	244	1
109	15	26	43	52	38	98	51	1
110	49	26	12	55	47	107	410	1
111	20	33	22	17	16	76	297	1
112	24	51	48	41	26	86	445	1
113	3	18	58	4	56	116	314	1
114	29	43	9	29	24	84	310	1
115	29	31	25	23	8	68	91	1
116	19	15	47	7	29	89	265	1
117	5	28	21	7	26	86	83	1
118	19	37	7	3	36	96	10	1
119	41	30	37	6	24	84	113	1
120	38	0	5	36	48	108	289	1
121	2	39	8	7	32	92	75	1
122	13	59	37	11	53	113	258	1
123	12	17	30	9	19	79	226	1
124	43	41	28	50	17	77	480	1
125	49	1	28	30	35	95	346	1
126	21	49	16	52	5	65	97	1
127	39	54	42	58	5	65	384	1
128	52	60	33	0	62	122	275	1
129	53	30	41	37	13	73	307	1
130	13	44	1	7	38	98	251	1
131	27	17	39	47	32	92	60	1
132	59	23	44	39	21	81	145	1
133	37	54	57	51	20	80	408	1
134	45	27	25	41	24	84	348	1
135	53	2	26	28	37	97	475	1
136	25	45	49	9	43	103	359	1
137	1	37	37	20	39	99	176	1
138	11	55	11	17	38	98	42	1
139	24	31	52	16	31	91	70	1
140	42	54	14	59	28	88	86	1
141	3	24	10	48	25	85	312	1
142	11	45	37	36	27	87	248	1
143	28	2	0	9	28	88	278	1
144	40	55	17	9	51	111	196	1
145	43	27	47	49	22	82	175	1
146	16	8	27	49	42	102	453	1
147	12	6	53	47	57	117	402	1
148	9	14	38	26	31	91	125	1
149	11	10	46	38	44	104	103	1
150	38	20	3	44	42	102	366	1
151	35	41	45	53	15	75	393	1
152	2	14	37	25	36	96	479	1
153	23	33	31	24	12	72	171	1
154	1	5	51	44	63	123	197	1
155	42	22	38	11	11	71	470	1
156	4	19	22	20	18	78	102	1
157	38	9	38	57	48	108	252	1
158	30	4	38	21	18	78	42	1
159	55	19	34	49	36	96	305	1
160	22	42	58	5	51	111	79	1
161	51	36	37	19	22	82	272	1
162	20	24	6	39	20	80	379	1
163	25	59	18	30	29	89	453	1
164	40	3	18	38	41	101	134	1
165	16	23	35	29	19	79	219	1
166	43	1	55	1	12	72	461	1
167	1	41	54	35	53	113	464	1
168	14	13	22	37	25	85	345	1
169	37	26	39	42	16	76	134	1
170	53	60	48	7	53	113	359	1
171	30	0	5	30	39	99	281	1
172	4	28	13	23	10	70	325	1
173	2	48	15	39	15	75	154	1
174	37	44	43	41	6	66	201	1
175	46	22	42	21	4	64	215	1
176	14	18	50	13	36	96	447	1
177	10	19	58	53	58	118	125	1
178	34	8	33	23	15	75	304	1
179	39	12	58	57	48	108	416	1
180	5	24	48	9	45	105	390	1
181	16	37	38	7	37	97	4	1
182	27	15	30	22	7	67	203	1
183	31	38	38	45	9	69	234	1
184	2	39	52	4	61	121	455	1
185	50	21	0	26	50	110	116	1
186	47	60	51	54	7	67	266	1
187	51	37	13	59	43	103	30	1
188	15	45	18	44	3	63	46	1
189	27	26	37	30	10	70	105	1
190	50	39	49	29	10	70	230	1
191	13	43	9	7	36	96	378	1
192	18	6	26	6	8	68	295	1
193	13	14	12	28	14	74	285	1
194	40	55	37	57	3	63	323	1
195	48	17	57	14	9	69	94	1
196	50	37	32	45	19	79	275	1
197	33	4	22	4	11	71	27	1
198	0	0	12	23	25	85	414	1
199	19	4	46	12	28	88	298	1
200	45	30	21	39	25	85	196	1
201	27	29	22	29	5	65	204	1
202	35	53	49	5	50	110	280	1
203	38	19	29	17	9	69	256	1
204	34	4	1	32	43	103	44	1
205	35	13	17	1	21	81	466	1
206	44	19	9	1	39	99	261	1
207	19	25	50	60	46	106	104	1
208	33	52	33	21	31	91	270	1
209	41	3	10	6	31	91	473	1
210	56	16	5	23	51	111	168	1
211	17	22	4	19	13	73	101	1
212	0	49	33	41	33	93	229	1
213	42	23	40	16	7	67	56	1
214	3	8	13	0	12	72	208	1
215	32	41	9	10	38	98	348	1
216	3	46	14	22	26	86	206	1
217	46	13	36	52	40	100	1	1
218	49	51	14	14	50	110	263	1
219	9	23	16	43	21	81	262	1
220	20	18	32	39	24	84	210	1
221	32	35	53	56	29	89	219	1
222	18	38	24	43	7	67	369	1
223	55	46	17	14	49	109	95	1
